Code_Filiere,Universite,Etablissement,Filiere,Section_Bac,Section_Bac_Nom,Score_2022,Score_2023,Score_2024,Score_2025
10101,Université de Tunis,Faculté des Sciences Humaines et Sociales de Tunis,Licence en Arabe,L,Lettres,98.1618,95.6117,97.875,99.8685
10101,Université de Tunis,Faculté des Sciences Humaines et Sociales de Tunis,Licence en Arabe,S,Sciences Expérimentales,113.8213,129.1169,130.9413,122.105
10101,Université de Tunis,Faculté des Sciences Humaines et Sociales de Tunis,Licence en Arabe,I,Sciences Informatiques,113.3344,147.9275,98.1888,117.4165
10101,Université de Tunis,Faculté des Sciences Humaines et Sociales de Tunis,Licence en Arabe,E,Économie et Gestion,97.89,86.7539,73.8752,92.3517
10102,Université de Tunis,Faculté des Sciences Humaines et Sociales de Tunis,Licence en Anglais,L,Lettres,109.9199,112.1467,115.4263,104.785
10102,Université de Tunis,Faculté des Sciences Humaines et Sociales de Tunis,Licence en Anglais,M,Mathématiques,152.6195,155.2196,110.4043,136.07
10102,Université de Tunis,Faculté des Sciences Humaines et Sociales de Tunis,Licence en Anglais,S,Sciences Expérimentales,129.01,142.7327,151.817,124.25
10102,Université de Tunis,Faculté des Sciences Humaines et Sociales de Tunis,Licence en Anglais,T,Sciences Techniques,135.54,118.555,122.9663,127.633
10102,Université de Tunis,Faculté des Sciences Humaines et Sociales de Tunis,Licence en Anglais,I,Sciences Informatiques,133.6591,153.6574,115.9397,131.5298
10102,Université de Tunis,Faculté des Sciences Humaines et Sociales de Tunis,Licence en Anglais,E,Économie et Gestion,114.5649,91.4209,107.5939,81.2024
10102,Université de Tunis,Faculté des Sciences Humaines et Sociales de Tunis,Licence en Anglais,SP,Sport,84.9293,116.2662,143.5245,147.625
10103,Université de Tunis,Faculté des Sciences Humaines et Sociales de Tunis,Licence en Français,L,Lettres,71.6818,71.7734,76.2884,68.2249
10103,Université de Tunis,Faculté des Sciences Humaines et Sociales de Tunis,Licence en Français,S,Sciences Expérimentales,119.412,147.3283,115.1036,122.0512
10103,Université de Tunis,Faculté des Sciences Humaines et Sociales de Tunis,Licence en Français,T,Sciences Techniques,89.8449,106.5471,102.9515,100.7692
10103,Université de Tunis,Faculté des Sciences Humaines et Sociales de Tunis,Licence en Français,I,Sciences Informatiques,120.2948,154.8504,110.3652,120.485
10103,Université de Tunis,Faculté des Sciences Humaines et Sociales de Tunis,Licence en Français,E,Économie et Gestion,81.3517,80.3931,79.237,82.26
10103,Université de Tunis,Faculté des Sciences Humaines et Sociales de Tunis,Licence en Français,SP,Sport,84.8741,155.34,108.5462,113.6502
10104,Université de La Manouba,"FLAHM - Faculté des Lettres, des Arts et des Humanités de La Manouba",Licence en Espagnol,L,Lettres,81.6586,78.3633,89.8317,85.2635
10104,Université de La Manouba,"FLAHM - Faculté des Lettres, des Arts et des Humanités de La Manouba",Licence en Espagnol,M,Mathématiques,116.765,102.2235,127.5066,
10104,Université de La Manouba,"FLAHM - Faculté des Lettres, des Arts et des Humanités de La Manouba",Licence en Espagnol,S,Sciences Expérimentales,118.03,128.4428,129.9569,126.795
10104,Université de La Manouba,"FLAHM - Faculté des Lettres, des Arts et des Humanités de La Manouba",Licence en Espagnol,I,Sciences Informatiques,,,,96.357
10104,Université de La Manouba,"FLAHM - Faculté des Lettres, des Arts et des Humanités de La Manouba",Licence en Espagnol,E,Économie et Gestion,120.9028,95.6259,106.3848,103.8435
10105,Université de La Manouba,"FLAHM - Faculté des Lettres, des Arts et des Humanités de La Manouba",Licence en Italien,L,Lettres,93.4468,98.8912,100.0434,93.7267
10105,Université de La Manouba,"FLAHM - Faculté des Lettres, des Arts et des Humanités de La Manouba",Licence en Italien,S,Sciences Expérimentales,140.919,112.065,134.2957,121.485
10105,Université de La Manouba,"FLAHM - Faculté des Lettres, des Arts et des Humanités de La Manouba",Licence en Italien,T,Sciences Techniques,122.8521,142.3796,94.775,103.2319
10105,Université de La Manouba,"FLAHM - Faculté des Lettres, des Arts et des Humanités de La Manouba",Licence en Italien,I,Sciences Informatiques,97.7552,107.7,124.853,123.8525
10105,Université de La Manouba,"FLAHM - Faculté des Lettres, des Arts et des Humanités de La Manouba",Licence en Italien,E,Économie et Gestion,105.9514,88.6479,90.9769,104.7012
